Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,2.410000,2.460000,2.402000,2.453000,2.453000,6776174
2023-06-02,2.477000,2.508000,2.442000,2.508000,2.508000,7943559
2023-06-05,2.511000,2.541000,2.471000,2.496000,2.496000,11188906
2023-06-06,2.478000,2.506000,2.455000,2.502000,2.502000,7468733
2023-06-07,2.518000,2.529000,2.440000,2.497000,2.497000,9211858
2023-06-08,2.510000,2.525000,2.460000,2.498000,2.498000,9880968
2023-06-09,2.499000,2.499000,2.410000,2.449000,2.449000,11986812
2023-06-12,2.458000,2.522000,2.448000,2.486000,2.486000,10161486
2023-06-13,2.492000,2.494000,2.452000,2.492000,2.492000,6766692
2023-06-14,2.477000,2.580000,2.477000,2.551000,2.551000,12818185
2023-06-15,2.544000,2.554000,2.524000,2.548000,2.548000,5930263
2023-06-16,2.548000,2.632000,2.548000,2.603000,2.603000,12900814
2023-06-19,2.594000,2.681000,2.586000,2.681000,2.681000,11322686
2023-06-20,2.665000,2.756000,2.665000,2.720000,2.720000,16289492
2023-06-21,2.723000,2.779000,2.723000,2.758000,2.758000,12324766
2023-06-22,2.738000,2.773000,2.686000,2.745000,2.745000,11002406
2023-06-23,2.704000,2.730000,2.670000,2.685000,2.685000,8443152
2023-06-26,2.683000,2.683000,2.552000,2.650000,2.650000,17216103
2023-06-27,2.669000,2.704000,2.641000,2.700000,2.700000,11074528
2023-06-28,2.720000,2.740000,2.669000,2.719000,2.719000,10780058
2023-06-29,2.719000,2.758000,2.719000,2.755000,2.755000,11333734
